GENE,GWAS,LOC_NUM
HCG18,META5,30
HCG20,META5,30
HCG21,META5,30
HCG22,META5,30
HCG4,META5,30
HCG4B,META5,30
HCG9,META5,30
HCP5B,META5,30
HLA-A,META5,30
HLA-E,META5,30
HLA-F,META5,30
HLA-F-AS1,META5,30
HLA-G,META5,30
HLA-H,META5,30
HLA-J,META5,30
HLA-L,META5,30
HLA-V,META5,30
IER3,META5,30
IER3-AS1,META5,30
IFITM4P,META5,30
LINC00243,META5,30
LINC01015,META5,30
LINC02569,META5,30
LINC02570,META5,30
LOC101929006,META5,30
MAS1L,META5,30
MDC1,META5,30
MDC1-AS1,META5,30
MIR4640,META5,30
MIR6891,META5,30
MIR877,META5,30
MOG,META5,30
MRPS18B,META5,30
MUC21,META5,30
MUC22,META5,30
MUCL3,META5,30
NRM,META5,30
OR10C1,META5,30
OR11A1,META5,30
OR12D1,META5,30
OR12D2,META5,30
OR12D3,META5,30
OR14J1,META5,30
OR2H1,META5,30
OR2H2,META5,30
OR2J2,META5,30
OR5V1,META5,30
PPP1R10,META5,30
PPP1R11,META5,30
PPP1R18,META5,30
PRR3,META5,30
PSORS1C1,META5,30
PSORS1C2,META5,30
RNF39,META5,30
RPP21,META5,30
SFTA2,META5,30
SNORD32B,META5,30
TRIM10,META5,30
TRIM15,META5,30
TRIM26,META5,30
TRIM31,META5,30
TRIM31-AS1,META5,30
TRIM39,META5,30
TRIM39-RPP21,META5,30
TRIM40,META5,30
TUBB,META5,30
UBD,META5,30
VARS2,META5,30
ZFP57,META5,30
ZNRD1,META5,30
ZNRD1ASP,META5,30
ABHD16A,META5,31
AGER,META5,31
AGPAT1,META5,31
AIF1,META5,31
APOM,META5,31
ATF6B,META5,31
B3GALT4,META5,31
BAG6,META5,31
BAK1,META5,31
BRD2,META5,31
BTNL2,META5,31
C2,META5,31
C2-AS1,META5,31
C4A,META5,31
C4B,META5,31
C4B_2,META5,31
C6orf47,META5,31
CFB,META5,31
CLIC1,META5,31
COL11A2,META5,31
CSNK2B,META5,31
CUTA,META5,31
CYP21A1P,META5,31
CYP21A2,META5,31
DAXX,META5,31
DDAH2,META5,31
DXO,META5,31
EGFL8,META5,31
EHMT2,META5,31
FKBPL,META5,31
GGNBP1,META5,31
GPANK1,META5,31
GPSM3,META5,31
HCG23,META5,31
HCG24,META5,31
HCG25,META5,31
HLA-DMA,META5,31
HLA-DMB,META5,31
HLA-DOA,META5,31
HLA-DOB,META5,31
HLA-DPA1,META5,31
HLA-DPB1,META5,31
HLA-DPB2,META5,31
HLA-DQA1,META5,31
HLA-DQA2,META5,31
HLA-DQB1,META5,31
HLA-DQB1-AS1,META5,31
HLA-DQB2,META5,31
HLA-DRA,META5,31
HLA-DRB1,META5,31
HLA-DRB5,META5,31
HLA-DRB6,META5,31
HSD17B8,META5,31
HSPA1A,META5,31
HSPA1B,META5,31
HSPA1L,META5,31
KIFC1,META5,31
LINC00336,META5,31
LOC100294145,META5,31
LOC100507547,META5,31
LOC110384692,META5,31
LSM2,META5,31
LY6G5B,META5,31
LY6G5C,META5,31
LY6G6C,META5,31
LY6G6D,META5,31
LY6G6E,META5,31
LY6G6F,META5,31
LY6G6F-LY6G6D,META5,31
MIR1234,META5,31
MIR1236,META5,31
MIR219A1,META5,31
MIR3135B,META5,31
MIR4646,META5,31
MIR5004,META5,31
MIR6721,META5,31
MIR6832,META5,31
MIR6833,META5,31
MIR6834,META5,31
MIR6873,META5,31
MPIG6B,META5,31
MSH5,META5,31
MSH5-SAPCD1,META5,31
NELFE,META5,31
NEU1,META5,31
NOTCH4,META5,31
PBX2,META5,31
PFDN6,META5,31
PHF1,META5,31
PPT2,META5,31
PPT2-EGFL8,META5,31
PRRC2A,META5,31
PRRT1,META5,31
PSMB8,META5,31
PSMB8-AS1,META5,31
PSMB9,META5,31
RGL2,META5,31
RING1,META5,31
RNF5,META5,31
RPS18,META5,31
RXRB,META5,31
SAPCD1,META5,31
SAPCD1-AS1,META5,31
SKIV2L,META5,31
SLC39A7,META5,31
SLC44A4,META5,31
SMIM40,META5,31
SNHG32,META5,31
SNORA38,META5,31
SNORD48,META5,31
SNORD52,META5,31
STK19,META5,31
SYNGAP1,META5,31
TAP1,META5,31
TAP2,META5,31
TAPBP,META5,31
TNXA,META5,31
TNXB,META5,31
TSBP1,META5,31
TSBP1-AS1,META5,31
VARS,META5,31
VPS52,META5,31
VWA7,META5,31
WDR46,META5,31
ZBTB12,META5,31
ZBTB22,META5,31
ZBTB9,META5,31
B3GAT2,META5,32
KCNQ5,META5,32
KCNQ5-IT1,META5,32
LINC00472,META5,32
LINC01626,META5,32
MIR30A,META5,32
MIR30C2,META5,32
OGFRL1,META5,32
RIMS1,META5,32
SMAP1,META5,32
CCN6,META5,33
FAM229B,META5,33
FYN,META5,33
GSTM2P1,META5,33
GTF3C6,META5,33
LAMA4,META5,33
LINC02527,META5,33
LOC101927640,META5,33
MFSD4B,META5,33
REV3L,META5,33
RFPL4B,META5,33
RPF2,META5,33
SLC16A10,META5,33
SNORD166,META5,33
TRAF3IP2,META5,33
TRAF3IP2-AS1,META5,33
TUBE1,META5,33
CCN2,META5,34
ENPP1,META5,34
EYA4,META5,34
LINC00326,META5,34
LINC01013,META5,34
LINC01312,META5,34
MIR548AJ1,META5,34
MOXD1,META5,34
RPS12,META5,34
SLC18B1,META5,34
SNORA33,META5,34
SNORD100,META5,34
SNORD101,META5,34
STX7,META5,34
TAAR1,META5,34
TAAR2,META5,34
TAAR3P,META5,34
TAAR5,META5,34
TAAR6,META5,34
TAAR8,META5,34
TAAR9,META5,34
TARID,META5,34
TCF21,META5,34
VNN1,META5,34
VNN2,META5,34
VNN3,META5,34
CCDC126,META5,35
CLK2P1,META5,35
FAM126A,META5,35
FAM221A,META5,35
