"GWAS","LOC_NUM","GENE","Pubmed hits","Pubmed hits gene only"
"META5",15,"LINC02035",0,0
"META5",15,"LOC102723582",0,0
"META5",15,"MIR7110",0,0
"META5",15,"PARP14",0,49
"META5",15,"PARP15",0,16
"META5",15,"PARP9",0,29
"META5",15,"PDIA5",0,11
"META5",15,"POLQ",0,98
"META5",15,"SEC22A",1,6
"META5",15,"SEMA5B",0,20
"META5",15,"SLC15A2",0,44
"META5",15,"SLC49A4",0,1
"META5",15,"WDR5B",0,1
"META5",16,"AADAC",0,41
"META5",16,"AADACL2",0,3
"META5",16,"AADACL2-AS1",0,0
"META5",16,"AADACP1",0,0
"META5",16,"CLRN1",0,49
"META5",16,"CLRN1-AS1",0,2
"META5",16,"EIF2A",1,169
"META5",16,"ERICH6",0,0
"META5",16,"ERICH6-AS1",0,0
"META5",16,"GPR171",1,16
"META5",16,"GPR87",0,31
"META5",16,"IGSF10",0,13
"META5",16,"LOC101928105",0,0
"META5",16,"LOC101928166",0,0
"META5",16,"MBNL1",0,317
"META5",16,"MBNL1-AS1",0,6
"META5",16,"MED12L",0,11
"META5",16,"MINDY4B",0,0
"META5",16,"MIR5186",0,0
"META5",16,"P2RY12",0,128
"META5",16,"P2RY13",0,12
"META5",16,"P2RY14",0,21
"META5",16,"SELENOT",2,15
"META5",16,"SERP1",0,32
"META5",16,"SIAH2",0,154
"META5",16,"SUCNR1",0,45
"META5",16,"TMEM14EP",0,0
"META5",16,"TSC22D2",0,8
"META5",17,"ARL14",0,5
"META5",17,"B3GALNT1",0,13
"META5",17,"IFT80",0,38
"META5",17,"KPNA4",0,43
"META5",17,"LINC02067",0,0
"META5",17,"MIR15B",0,23
"META5",17,"MIR16-2",0,1
"META5",17,"NMD3",5,49
"META5",17,"OTOL1",0,2
"META5",17,"PPM1L",0,13
"META5",17,"SCARNA7",0,2
"META5",17,"SMC4",0,85
"META5",17,"SPTSSB",0,3
"META5",17,"TRIM59",0,68
