"Gene","GTEX_BRAIN_all","GTEX_nigra","Astrocyte","DaN","Endothelial","GABA","Microglia","ODC","OPC"
"STK19",12.9087207118516,8.05157971014493,25.628956213234,14.7840342943642,63.6466777442929,25.8207692857191,11.7873172506893,16.1163909137631,12.1132724825461
"STK31",0.808557122302158,0.387724637681159,7.37399295731832,1.4167519085551,38.1532337864496,7.79308023906062,25.7159617113262,23.3044965185306,8.52095008305085
"STK39",28.1272389246498,35.2240144927536,155.250095621166,173.003748182955,168.66750709452,163.161391470253,85.0244951996551,298.806570932063,162.350483933772
"STUM",24.3584023475956,11.0732753623188,NA,NA,NA,NA,NA,NA,NA
"STX1B",111.097136312003,35.9922463768116,8.35468849923587,40.3704339623488,14.1853724150439,67.558605139997,4.39911411020834,6.04763407593965,8.40463166677329
"STX4",18.3870174176448,21.4721449275362,71.7742429303192,25.4697917172247,68.1964637780557,26.5606220850709,75.1900427455699,108.31804093032,42.5967771951681
"STX7",9.9063108670958,10.1389057971014,157.868700807715,123.834932576488,79.2774246412203,115.401730887716,324.243510155786,123.394024404832,95.8093661253377
"SUCNR1",0.11582034267323,0.244729391304348,1.08899965667627,0,0,0,0,0.0937893622229578,1.48986445213215
"SUCO",8.84529878833775,6.95585507246377,65.5185034445967,75.1081760893067,42.5782973611133,45.5120833190782,63.0739728438863,56.7343524186803,69.4512323320239
"SUFU",5.81530598258236,3.68211594202899,70.6570139969377,44.8516755595281,68.7721253911476,46.2419481288367,87.62240661877,41.8384495263357,56.5103493962579
"SUGT1P1",1.48359628928436,1.13470942028986,NA,NA,NA,NA,NA,NA,NA
"SULT1A1",21.3791700113593,11.8501086956522,48.4167144446208,39.7934050185838,30.4643544584561,73.8907304443915,16.102407407753,14.6799599728406,63.456746454138
"SULT1A2",2.12798170390004,0.963767391304348,4.64652041551295,0.839207787848271,0,0,0,1.22578635424338,1.79053332572805
"SULT1A3",0.654460636122681,0.398055942028986,2.17520346044326,0,0,0,3.30496571098074,3.09434802382988,0
"SULT1A4",0.558633642559637,0.194169420289855,0,0,0,0,0,0.230578704645259,0
"SUV39H2",2.20010026505112,1.44054275362319,4.16704508400726,14.9939716344326,0.612246897132726,5.66913193819599,2.86340527867235,6.34008589405997,15.6872631833361
"SV2C",7.59613727300265,15.1972179710145,33.155401424953,578.425251566851,3.31831367550399,44.822819116732,22.3054143921228,12.0307237594671,11.3410365189108
"SWAP70",9.03221355547141,11.7091231884058,104.321241285732,23.4568265492497,101.351256057766,22.1963790770766,144.210116947188,29.3093344224529,42.9586927747736
"SYNDIG1L",115.566943650133,24.7568514492754,10.250985143174,0,0,20.9662532454883,2.67326070975072,0.38404435521702,0
