"GENE","Pval.Imputed","Pval.Exome"
"DNM3",NA,0.239455344092132
"DNM3-IT1",NA,NA
"DNM3OS",NA,NA
"DOC2A",NA,0.0149288596705807
"DOK2",0.23758,0.0355983377937273
"DOT1L",0.341502,0.0268033297549609
"DPCD",NA,0.229847975327871
"DPM3",NA,0.554000581969808
"DSCR10",NA,NA
"DSCR4",NA,0.204330115894525
"DSCR8",NA,NA
"DSCR9",NA,NA
"DSTYK",0.517999,0.266342582653245
"DTNA",0.638143,NA
"DTX3L",0.0140327,0.0452557217712767
"DUSP12",0.0828625,0.498912982860981
"DUSP2",NA,0.0891954061248301
"DUSP3",NA,0.165698405161452
"DUSP5",0.708573,0.90703731331013
"DVL2",0.592731,0.375596214648631
"DXO",NA,NA
"DYRK1A",0.637239,0.0223003126494994
"EAF2",0.353502,0.0121448241140782
"EBPL",0.312702,0.106476785870368
"EEF1AKNMT",NA,NA
"EFCAB13",NA,NA
"EFCAB3",NA,0.161575169352879
"EFNA1",0.111553,0.0342058380969024
"EFNA3",NA,0.164500061420725
"EFNA4",0.023996,0.22558151537312
"EFNB3",NA,0.0280043071184887
"EFTUD2",0.196588,0.107391463320424
"EGFL8",0.471108,0.0189075053698083
"EGR3",NA,0.288078656131782
"EHMT2",0.0773007,0.00340794302785841
"EIF1",NA,NA
"EIF2A",0.526916,0.114592714957692
"EIF2B1",NA,0.280757821161454
"EIF2B2",0.793393,0.694475467546106
"EIF3A",0.0523613,0.380617079226545
"EIF3C",NA,0.167771761440207
"EIF3CL",NA,0.167771761440207
"EIF4A1",NA,0.0559529476068347
"EIF4G2",1,0.412138243014518
"EIF5A",NA,0.721899230895757
"ELAC1",0.138151,0.160870036658889
"ELK4",NA,0.597783720468587
"ELOVL3",0.268696,0.100656390754788
"ELOVL7",0.0533127,0.787054224241552
"ELP5",NA,NA
"EML5",0.451809,0.295472035614666
"ENGASE",0.275751,0.366431807023389
"ENHO",NA,0.372328669991299
"ENPP1",0.281435,0.174253039722938
"ENTPD4",0.734018,0.225731236962541
"ENTPD5",0.534123,0.290008856682745
"EOMES",0.743701,0.0258693221077971
"EP400",0.555802,0.0594871113473738
"EP400P1",NA,NA
"EPHX1",0.110056,0.0909623434703708
"ERCC8",0.635524,NA
"ERG",NA,0.221131285594274
"ERG28",NA,NA
"ERICH6",NA,NA
"ERICH6-AS1",NA,NA
"ETV4",0.135998,0.145414605849773
"EYA4",1,0.496298487703397
"EZH1",0.737852,0.123675331476008
"F11R",0.525779,0.58974909974872
"F2R",0.00851203,0.060383841478235
"F2RL1",0.603277,0.97485593928269
"F2RL2",0.25921,0.30359015996693
"FAHD2A",NA,0.382906888423319
"FAHD2CP",NA,NA
"FAM107B",NA,0.521701011462131
"FAM126A",0.448727,0.0536704767008624
"FAM13A",0.545009,0.00824482939571447
"FAM13A-AS1",NA,NA
"FAM160B2",0.368824,0.0475643400505396
"FAM161B",0.39024,0.0234180127995034
"FAM162A",0.737502,0.595639469715569
"FAM167A",0.284419,0.136272891246634
"FAM167A-AS1",NA,NA
"FAM171A1",0.256576,0.24837034272529
"FAM171A2",NA,NA
"FAM184B",0.589973,NA
"FAM187A",NA,NA
"FAM189B",0.378609,0.261559475584573
"FAM200B",0.580322,NA
"FAM205A",NA,NA
"FAM205BP",NA,NA
"FAM205C",NA,NA
"FAM215A",NA,NA
"FAM219A",NA,NA
"FAM221A",NA,NA
"FAM229B",NA,NA
"FAM45A",NA,0.339696616834926
"FAM47E",0.588128,NA
"FAM47E-STBD1",NA,NA
"FAM49B",NA,0.422513022187076
"FAM53A",0.613027,0.230882936975417
"FAM66A",NA,NA
"FAM66D",NA,0.0988175671590786
"FAM72A",NA,NA
"FAM72C",NA,NA
"FAM85A",NA,NA
"FAM86B1",NA,0.146713244943104
"FAM86B2",NA,NA
"FAM90A25P",NA,NA
"FAM90A2P",NA,NA
"FAM95A",NA,NA
"FARP1",0.670463,0.10593095760526
"FASLG",NA,0.16722269229004
"FBRS",0.883955,0.412447724438373
"FBRSL1",0.0434057,NA
"FBXL15",0.380831,0.258917386696823
"FBXL19",0.708296,0.520222964034762
"FBXL19-AS1",NA,NA
"FBXL5",NA,0.734820860907267
"FBXO34",0.0980094,0.00451637772035622
"FBXO39",1,0.642441061911422
"FBXO40",0.0478618,0.150302463815949
"FBXW12",0.259774,0.378724465572086
"FBXW4",NA,0.706809267602706
"FCER1G",0.354004,0.11352636984723
"FCF1",0.747277,0.109918147734439
"FCF1P2",NA,NA
"FCGR2A",NA,0.0754791247122496
"FCGR2B",0.0541224,0.245708275159846
"FCGR2C",NA,0.0315018416303817
"FCGR3A",0.00164379,0.0384920583328558
"FCGR3B",NA,0.281831472107986
